name,status,total_queries,n_questions,final_queries,splits,results
spider/entertainment_awards/0015,2,0,0,,,
spider/student_assessment/0021,2,0,0,,,
spider/college_2/0062,2,0,0,,,
spider/wine_1/0022,2,0,0,,,
spider/college_3/0024,0,6,1,"['SELECT building FROM (SELECT * FROM (SELECT * FROM (SELECT LHS.facid AS facid, LHS.lname AS lname, LHS.fname AS fname, LHS.rank AS rank, LHS.sex AS sex, LHS.phone AS phone, LHS.room AS room, LHS.building AS building, RHS.cid AS cid, RHS.cname AS cname, RHS.credits AS credits, RHS.instructor AS instructor, RHS.days AS days, RHS.hours AS hours, RHS.dno AS dno, RHS.n AS n FROM `faculty` AS LHS CROSS JOIN (SELECT cid, cname, credits, instructor, days, hours, dno, COUNT(*) OVER () AS n FROM `course`) AS RHS) ORDER BY rank) LIMIT 1) ORDER BY building', 'SELECT building FROM (SELECT * FROM (SELECT * FROM (SELECT LHS.cid AS cid, LHS.cname AS cname, LHS.credits AS credits, LHS.instructor AS instructor, LHS.days AS days, LHS.hours AS hours, LHS.dno AS dno, RHS.facid AS facid, RHS.lname AS lname, RHS.fname AS fname, RHS.rank AS rank, RHS.sex AS sex, RHS.phone AS phone, RHS.room AS room, RHS.building AS building, RHS.n AS n FROM `course` AS LHS CROSS JOIN (SELECT facid, lname, fname, rank, sex, phone, room, building, COUNT(*) OVER () AS n FROM `faculty`) AS RHS) ORDER BY rank) LIMIT 1) ORDER BY building', 'SELECT building FROM (SELECT * FROM (SELECT * FROM (SELECT LHS.facid AS facid, LHS.lname AS lname, LHS.fname AS fname, LHS.rank AS rank, LHS.sex AS sex, LHS.phone AS phone, LHS.room AS room, LHS.building AS building, RHS.cid AS cid, RHS.cname AS cname, RHS.credits AS credits, RHS.instructor AS instructor, RHS.days AS days, RHS.hours AS hours, RHS.dno AS dno, RHS.n AS n FROM `faculty` AS LHS CROSS JOIN (SELECT cid, cname, credits, instructor, days, hours, dno, COUNT(*) OVER () AS n FROM `course`) AS RHS) ORDER BY room) LIMIT 1) ORDER BY building', 'SELECT building FROM (SELECT * FROM (SELECT * FROM (SELECT LHS.cid AS cid, LHS.cname AS cname, LHS.credits AS credits, LHS.instructor AS instructor, LHS.days AS days, LHS.hours AS hours, LHS.dno AS dno, RHS.facid AS facid, RHS.lname AS lname, RHS.fname AS fname, RHS.rank AS rank, RHS.sex AS sex, RHS.phone AS phone, RHS.room AS room, RHS.building AS building, RHS.n AS n FROM `course` AS LHS CROSS JOIN (SELECT facid, lname, fname, rank, sex, phone, room, building, COUNT(*) OVER () AS n FROM `faculty`) AS RHS) ORDER BY room) LIMIT 1) ORDER BY building', 'SELECT building FROM (SELECT * FROM (SELECT * FROM (SELECT LHS.facid AS facid, LHS.lname AS lname, LHS.fname AS fname, LHS.rank AS rank, LHS.sex AS sex, LHS.phone AS phone, LHS.room AS room, LHS.building AS building, RHS.cid AS cid, RHS.cname AS cname, RHS.credits AS credits, RHS.instructor AS instructor, RHS.days AS days, RHS.hours AS hours, RHS.dno AS dno, RHS.n AS n FROM `faculty` AS LHS CROSS JOIN (SELECT cid, cname, credits, instructor, days, hours, dno, COUNT(*) OVER () AS n FROM `course`) AS RHS) ORDER BY building) LIMIT 1) ORDER BY building', 'SELECT building FROM (SELECT * FROM (SELECT * FROM (SELECT LHS.cid AS cid, LHS.cname AS cname, LHS.credits AS credits, LHS.instructor AS instructor, LHS.days AS days, LHS.hours AS hours, LHS.dno AS dno, RHS.facid AS facid, RHS.lname AS lname, RHS.fname AS fname, RHS.rank AS rank, RHS.sex AS sex, RHS.phone AS phone, RHS.room AS room, RHS.building AS building, RHS.n AS n FROM `course` AS LHS CROSS JOIN (SELECT facid, lname, fname, rank, sex, phone, room, building, COUNT(*) OVER () AS n FROM `faculty`) AS RHS) ORDER BY building) LIMIT 1) ORDER BY building']",[],[]
spider/twitter_1/0011,2,0,0,,,
spider/customer_complaints/0019,0,633,6,"['SELECT n_distinct AS count_distinct_complaint_type_code_ FROM (SELECT COUNT(DISTINCT complaint_type_code) AS n_distinct FROM `complaints`) ORDER BY count_distinct_complaint_type_code_', 'SELECT n_distinct AS count_distinct_complaint_type_code_ FROM (SELECT COUNT(DISTINCT complaint_type_code) AS n_distinct FROM (SELECT * FROM (SELECT LHS.complaint_id AS complaint_id, LHS.product_id AS product_id, LHS.customer_id AS customer_id, LHS.complaint_outcome_code AS complaint_outcome_code, LHS.complaint_status_code AS complaint_status_code, LHS.complaint_type_code AS complaint_type_code, LHS.date_complaint_raised AS date_complaint_raised, LHS.date_complaint_closed AS date_complaint_closed, LHS.staff_id AS staff_id, RHS.complaint_id AS complaint_id_other, RHS.product_id AS product_id_other, RHS.customer_id AS customer_id_other, RHS.complaint_outcome_code AS complaint_outcome_code_other, RHS.complaint_status_code AS complaint_status_code_other, RHS.complaint_type_code AS complaint_type_code_other, RHS.date_complaint_raised AS date_complaint_raised_other, RHS.date_complaint_closed AS date_complaint_closed_other, RHS.staff_id AS staff_id_other FROM `complaints` AS LHS CROSS JOIN `complaints` AS RHS) WHERE (complaint_type_code != complaint_type_code_other))) ORDER BY count_distinct_complaint_type_code_', 'SELECT n_distinct AS count_distinct_complaint_type_code_ FROM (SELECT COUNT(DISTINCT complaint_type_code) AS n_distinct FROM (SELECT * FROM (SELECT LHS.complaint_id AS complaint_id, LHS.product_id AS product_id, LHS.customer_id AS customer_id, LHS.complaint_outcome_code AS complaint_outcome_code, LHS.complaint_status_code AS complaint_status_code, LHS.complaint_type_code AS complaint_type_code, LHS.date_complaint_raised AS date_complaint_raised, LHS.date_complaint_closed AS date_complaint_closed, LHS.staff_id AS staff_id, RHS.complaint_id AS complaint_id_other, RHS.product_id AS product_id_other, RHS.customer_id AS customer_id_other, RHS.complaint_outcome_code AS complaint_outcome_code_other, RHS.complaint_status_code AS complaint_status_code_other, RHS.complaint_type_code AS complaint_type_code_other, RHS.date_complaint_raised AS date_complaint_raised_other, RHS.date_complaint_closed AS date_complaint_closed_other, RHS.staff_id AS staff_id_other FROM `complaints` AS LHS CROSS JOIN `complaints` AS RHS) WHERE (complaint_type_code = complaint_type_code_other))) ORDER BY count_distinct_complaint_type_code_', 'SELECT n_distinct AS count_distinct_complaint_type_code_ FROM (SELECT LHS.n_distinct AS n_distinct, RHS.n_distinct AS n_distinct_other FROM (SELECT COUNT(DISTINCT complaint_type_code) AS n_distinct FROM `complaints`) AS LHS CROSS JOIN (SELECT COUNT(DISTINCT complaint_type_code) AS n_distinct FROM `complaints`) AS RHS) WHERE (n_distinct <= n_distinct_other) ORDER BY count_distinct_complaint_type_code_', 'SELECT n_distinct AS count_distinct_complaint_type_code_ FROM (SELECT LHS.n_distinct AS n_distinct, RHS.n_distinct AS n_distinct_other FROM (SELECT COUNT(DISTINCT complaint_type_code) AS n_distinct FROM `complaints`) AS LHS CROSS JOIN (SELECT COUNT(DISTINCT complaint_type_code) AS n_distinct FROM `complaints`) AS RHS) WHERE (n_distinct >= n_distinct_other) ORDER BY count_distinct_complaint_type_code_', 'SELECT n_distinct AS count_distinct_complaint_type_code_ FROM (SELECT LHS.n_distinct AS n_distinct, RHS.n_distinct AS n_distinct_other FROM (SELECT COUNT(DISTINCT complaint_type_code) AS n_distinct FROM `complaints`) AS LHS CROSS JOIN (SELECT COUNT(DISTINCT complaint_type_code) AS n_distinct FROM `complaints`) AS RHS) WHERE (n_distinct = n_distinct_other) ORDER BY count_distinct_complaint_type_code_']","[[6, 5, 68, 4, 81, 1, 2, 2, 4, 2, 2, 4, 1, 1, 2, 4, 2, 4, 6, 4, 2, 2], [6, 5, 68, 4, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 4, 2, 2], [6, 5, 4, 1, 2, 2, 2, 2, 12, 2, 2, 1, 1, 2, 2, 2, 3, 1, 2, 4, 2], [6, 5, 4, 1, 4, 24, 1, 1, 2], [6, 5, 4, 1, 2, 2, 1, 1, 2]]","[False, False, False, False, True]"
spider/music_1/0024,0,1,1,"['SELECT artist_name, gender FROM (SELECT LHS.artist_name AS artist_name, LHS.country AS country, LHS.gender AS gender, LHS.preferred_genre AS preferred_genre, RHS.song_name AS song_name, RHS.f_id AS f_id, RHS.genre_is AS genre_is, RHS.rating AS rating, RHS.languages AS languages, RHS.releasedate AS releasedate, RHS.resolution AS resolution, RHS.song_name_other AS song_name_other, RHS.artist_name_other AS artist_name_other, RHS.country_other AS country_other, RHS.f_id_other AS f_id_other, RHS.genre_is_other AS genre_is_other, RHS.languages_other AS languages_other, RHS.releasedate_other AS releasedate_other, RHS.resolution_other AS resolution_other FROM `artist` AS LHS INNER JOIN (SELECT song_name, artist_name, country, f_id, genre_is, f_id AS rating, languages, releasedate, resolution, song_name_other, artist_name_other, country_other, f_id_other, genre_is_other, languages_other, releasedate_other, resolution_other FROM (SELECT LHS.song_name AS song_name, LHS.artist_name AS artist_name, LHS.country AS country, LHS.f_id AS f_id, LHS.genre_is AS genre_is, LHS.rating AS rating, LHS.languages AS languages, LHS.releasedate AS releasedate, LHS.resolution AS resolution, RHS.song_name AS song_name_other, RHS.artist_name AS artist_name_other, RHS.country AS country_other, RHS.f_id AS f_id_other, RHS.genre_is AS genre_is_other, RHS.languages AS languages_other, RHS.releasedate AS releasedate_other, RHS.resolution AS resolution_other FROM `song` AS LHS INNER JOIN `song` AS RHS ON (LHS.f_id = RHS.rating))) AS RHS ON (LHS.artist_name = RHS.artist_name AND LHS.country = RHS.country)) ORDER BY artist_name']",[],[]
spider/movie_1/0046,2,0,0,,,
spider/products_gen_characteristics/0019,3,0,0,,,
spider/wine_1/0026,2,0,0,,,
spider/flight_4/0035,2,0,0,,,
spider/coffee_shop/0012,2,0,0,,,
spider/mountain_photos/0015,2,0,0,,,
spider/tracking_share_transactions/0016,0,248,5,"['SELECT n_distinct AS count_distinct_transaction_type_code_ FROM (SELECT COUNT(DISTINCT transaction_type_code) AS n_distinct FROM `transactions`) ORDER BY count_distinct_transaction_type_code_', 'SELECT n_distinct AS count_distinct_transaction_type_code_ FROM (SELECT COUNT(DISTINCT transaction_type_code) AS n_distinct FROM (SELECT * FROM (SELECT LHS.transaction_id AS transaction_id, LHS.investor_id AS investor_id, LHS.transaction_type_code AS transaction_type_code, LHS.date_of_transaction AS date_of_transaction, LHS.amount_of_transaction AS amount_of_transaction, LHS.share_count AS share_count, LHS.other_details AS other_details, RHS.transaction_id AS transaction_id_other, RHS.investor_id AS investor_id_other, RHS.transaction_type_code AS transaction_type_code_other, RHS.date_of_transaction AS date_of_transaction_other, RHS.amount_of_transaction AS amount_of_transaction_other, RHS.share_count AS share_count_other, RHS.other_details AS other_details_other FROM `transactions` AS LHS CROSS JOIN `transactions` AS RHS) WHERE (transaction_type_code = transaction_type_code_other))) ORDER BY count_distinct_transaction_type_code_', 'SELECT n_distinct AS count_distinct_transaction_type_code_ FROM (SELECT LHS.n_distinct AS n_distinct, RHS.n_distinct AS n_distinct_other FROM (SELECT COUNT(DISTINCT transaction_type_code) AS n_distinct FROM `transactions`) AS LHS CROSS JOIN (SELECT COUNT(DISTINCT transaction_type_code) AS n_distinct FROM `transactions`) AS RHS) WHERE (n_distinct = n_distinct_other) ORDER BY count_distinct_transaction_type_code_', 'SELECT n_distinct AS count_distinct_transaction_type_code_ FROM (SELECT LHS.n_distinct AS n_distinct, RHS.n_distinct AS n_distinct_other FROM (SELECT COUNT(DISTINCT transaction_type_code) AS n_distinct FROM `transactions`) AS LHS CROSS JOIN (SELECT COUNT(DISTINCT transaction_type_code) AS n_distinct FROM `transactions`) AS RHS) WHERE (n_distinct <= n_distinct_other) ORDER BY count_distinct_transaction_type_code_', 'SELECT n_distinct AS count_distinct_transaction_type_code_ FROM (SELECT LHS.n_distinct AS n_distinct, RHS.n_distinct AS n_distinct_other FROM (SELECT COUNT(DISTINCT transaction_type_code) AS n_distinct FROM `transactions`) AS LHS CROSS JOIN (SELECT COUNT(DISTINCT transaction_type_code) AS n_distinct FROM `transactions`) AS RHS) WHERE (n_distinct >= n_distinct_other) ORDER BY count_distinct_transaction_type_code_']","[[4, 6, 39, 1, 1, 1, 9, 1, 10, 4], [3, 20, 10, 1, 1, 1, 1], [3, 6, 2, 2, 1, 1, 1, 1], [5, 1]]","[False, False, True, True]"
