name,solution,query,cube_length,kw_length,sql_kw_SELECT,sql_kw_DISTINCT,sql_kw_FROM,sql_kw_ON,sql_kw_WHERE,sql_kw_OVER,sql_kw_DESC,sql_kw_LIMIT,sql_kw_OR,sql_kw_NOT,sql_kw_EXISTS,sql_kw_GROUP,sql_kw_AVG,sql_kw_USER,sql_kw_TIME,sql_kw_COUNT,sql_kw_ROWS,sql_kw_UNBOUNDED,sql_kw_PRECEDING,sql_kw_INTERSECT,sql_kw_POSITION,sql_kw_RESULT,sql_kw_YEAR,sql_kw_RANGE,sql_kw_NO,sql_kw_MONTH,sql_kw_START,sql_kw_END,sql_kw_CHARACTER,sql_kw_REF,sql_kw_BY,dsl_op_summarise,dsl_op_natural_join,dsl_op_filter,dsl_op_mutate,dsl_op_inner_join,dsl_op_left_join,dsl_op_natural_join3,dsl_op_cross_join,dsl_op_anti_join,dsl_op_semi_join,dsl_op_natural_join4,dsl_op_intersect,dsl_op_union
scythe/recent_posts/021,"filter(input0, 'id_product == 22L'), cross_join(input0, line0, 'id_product != id_product.other & id_order == id_order.other'), summarise(line1, 'n = n()', ""'id_product'"")","SELECT id_product AS product_id,
       n AS count_od2
FROM
  (SELECT id_product,
          COUNT() AS n
   FROM
     (SELECT *
      FROM
        (SELECT LHS.id_order AS id_order,
                LHS.id_product AS id_product,
                RHS.id_order AS id_order_other,
                RHS.id_product AS id_product_other
         FROM df_021 AS LHS
         CROSS JOIN
           (SELECT *
            FROM df_021
            WHERE (id_product = 22)) AS RHS)
      WHERE (id_product != id_product_other
             AND id_order = id_order_other))
   GROUP BY id_product)
ORDER BY product_id;",3,12,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
scythe/recent_posts/031,"left_join(input0, input1), filter(line0, ""type == 'public' & accountid == 'Dave'"")","SELECT `channelid` AS `c1`,
       `accountid` AS `c2`,
       `role` AS `c3`
FROM
  (SELECT `LHS`.`channelid` AS `channelid`,
          `LHS`.`accountid` AS `accountid`,
          `LHS`.`role` AS `role`,
          `RHS`.`channelname` AS `channelname`,
          `RHS`.`type` AS `type`
   FROM `df_031_1` AS `LHS`
   LEFT JOIN `df_031_2` AS `RHS` ON (`LHS`.`channelid` = `RHS`.`channelid`))
WHERE (`type` = 'public'
       AND `accountid` = 'Dave')
ORDER BY c1;",2,6,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
scythe/recent_posts/007,"mutate(input0, 'mintodate = min(todate)'), mutate(line0, 'maxfromdate = max(fromdate)')","SELECT DISTINCT employee,
                fromdate,
                todate,
                code
FROM
  (SELECT employee,
          fromdate,
          todate,
          code,
          MIN(todate) OVER () AS mintodate
   FROM df_007)
ORDER BY employee;",2,6,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
scythe/recent_posts/034,"mutate(input0, 'maxdate_update = max(date_update)'), filter(line0, 'maxdate_update <= date_update')","SELECT material AS c1,
       disco_date AS c2,
       date_update AS c3
FROM
  (SELECT material,
          disco_date,
          date_update,
          MAX(date_update) OVER () AS maxdate_update
   FROM df_034)
WHERE (maxdate_update <= date_update)
ORDER BY c1;",2,6,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
scythe/recent_posts/044,"inner_join(input0, input1, ""'area' = 'part'""), anti_join(line0, input1, ""'originalid','part'"")","SELECT DISTINCT originalid,
                area
FROM
  (SELECT *
   FROM
     (SELECT originalid,
             area,
             originalid_other,
             area AS part
      FROM
        (SELECT LHS.originalid AS originalid,
                LHS.area AS area,
                RHS.originalid AS originalid_other
         FROM df_044_1 AS LHS
         INNER JOIN df_044_2 AS RHS ON (LHS.area = RHS.part))) AS LHS
   WHERE NOT EXISTS
       (SELECT 1
        FROM df_044_2 AS RHS
        WHERE (LHS.originalid = RHS.originalid
               AND LHS.part = RHS.part) ))
ORDER BY originalid;",2,16,5,1,5,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
scythe/recent_posts/009,"summarise(input0, 'n = n()', ""'c2','c4'"")","SELECT c2 AS c1,
       c4 AS c2,
       n AS c3
FROM
  (SELECT c2,
          c4,
          COUNT() AS n
   FROM df_009
   GROUP BY c2,
            c4)
ORDER BY c1;",1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
scythe/recent_posts/042,df_042,"SELECT id,
       name
FROM df_042
ORDER BY id;",0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scythe/recent_posts/036,"natural_join(input0, input1), inner_join(line0, line0, ""'sen2' = 'id'"")","SELECT DISTINCT account_other AS account,
                name_other AS name
FROM
  (SELECT LHS.account AS account,
          LHS.sen1 AS sen1,
          LHS.sen2 AS sen2,
          LHS.id AS id,
          LHS.name AS name,
          RHS.account AS account_other,
          RHS.sen1 AS sen1_other,
          RHS.sen2 AS sen2_other,
          RHS.name AS name_other
   FROM
     (SELECT LHS.account AS account,
             LHS.sen1 AS sen1,
             LHS.sen2 AS sen2,
             RHS.id AS id,
             RHS.name AS name
      FROM df_036_1 AS LHS
      CROSS JOIN df_036_2 AS RHS) AS LHS
   INNER JOIN
     (SELECT LHS.account AS account,
             LHS.sen1 AS sen1,
             LHS.sen2 AS sen2,
             RHS.id AS id,
             RHS.name AS name
      FROM df_036_1 AS LHS
      CROSS JOIN df_036_2 AS RHS) AS RHS ON (LHS.sen2 = RHS.id))
ORDER BY account;",2,10,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
scythe/recent_posts/038,"left_join(input1, input0)","SELECT date, tapped,
             sold
FROM
  (SELECT LHS.date AS date,
          LHS.tapped AS tapped,
          RHS.sold AS sold
   FROM df_038_2 AS LHS
   LEFT JOIN df_038_1 AS RHS ON (LHS.date = RHS.date))
ORDER BY date;",1,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
scythe/top_rated_posts/011,"summarise(input1, ""concatcity = string_agg(city, ', ')"", ""'vehicleid'""), natural_join3(input0, input1, line0)","SELECT DISTINCT `vehicleid`,
                `name`,
                `concatcity`
FROM
  (SELECT `LHS`.`vehicleid` AS `vehicleid`,
          `LHS`.`name` AS `name`,
          `LHS`.`locationid` AS `locationid`,
          `LHS`.`city` AS `city`,
          `RHS`.`concatcity` AS `concatcity`
   FROM
     (SELECT `LHS`.`vehicleid` AS `vehicleid`,
             `LHS`.`name` AS `name`,
             `RHS`.`locationid` AS `locationid`,
             `RHS`.`city` AS `city`
      FROM `df_i011_1` AS `LHS`
      INNER JOIN `df_i011_2` AS `RHS` ON (`LHS`.`vehicleid` = `RHS`.`vehicleid`)) AS `LHS`
   INNER JOIN
     (SELECT `vehicleid`,
             string_agg(`city`, ', ') AS concatcity
      FROM df_i011_2
      GROUP BY vehicleid) AS RHS ON (LHS.vehicleid = RHS.vehicleid))
ORDER BY vehicleid;",2,11,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
scythe/top_rated_posts/022,"summarise(input0, 'medianval = median(val)', '')","SELECT medianval AS median
FROM
  (SELECT PERCENTILE_CONT(0.5) WITHIN GROUP (
                                             ORDER BY val) AS medianval
   FROM df_i022)
ORDER BY median;",1,5,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
scythe/top_rated_posts/046,"filter(input0, ""x_field != 'f' & x_field != 'p'""), filter(line0, ""x_field != 'i' & x_field != 'a'""), anti_join(input0, line1, ""'id'"")","SELECT `id`,
       `x_field`
FROM
  (SELECT *
   FROM `df_i046` AS `LHS`
   WHERE NOT EXISTS
       (SELECT 1
        FROM
          (SELECT *
           FROM
             (SELECT *
              FROM `df_i046`
              WHERE (`x_field` != 'f'
                     AND `x_field` != 'p'))
           WHERE (`x_field` != 'i'
                  AND `x_field` != 'a')) AS RHS
        WHERE (LHS.id = RHS.id) ))
ORDER BY id;",3,16,5,0,5,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
scythe/top_rated_posts/051,"mutate(input0, 'maxdate = max(date)'), filter(line0, 'maxdate == date')","SELECT id,
       category, date
FROM
  (SELECT id,
          category, date, MAX(date) OVER () AS maxdate
   FROM df_i051)
WHERE (maxdate = date)
ORDER BY id;",2,6,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
scythe/top_rated_posts/050,"summarise(input0, 'pmin_ = pmin(col1,col2,col3)', ""'col2','col3'""), natural_join(input0, line0)","SELECT id,
       col1,
       col2,
       col3,
       pmin_ AS themin
FROM
  (SELECT LHS.id AS id,
          LHS.col1 AS col1,
          LHS.col2 AS col2,
          LHS.col3 AS col3,
          RHS.pmin_ AS pmin_
   FROM df_i050 AS LHS
   INNER JOIN
     (SELECT col2,
             col3,
             MIN(col1, col2, col3) AS pmin_
      FROM df_i050
      GROUP BY col2,
               col3) AS RHS ON (LHS.col2 = RHS.col2
                                AND LHS.col3 = RHS.col3))
ORDER BY id;",2,7,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
scythe/top_rated_posts/039,"summarise(input0, 'n = n()', ""'c'""), mutate(line0, 'maxn = max(n)'), filter(line1, 'maxn == n')","SELECT c
FROM
  (SELECT c,
          n,
          MAX(n) OVER () AS maxn
   FROM
     (SELECT c,
             COUNT() AS n
      FROM df_i039
      GROUP BY c))
WHERE (maxn = n)
ORDER BY c;",3,8,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
scythe/top_rated_posts/040,"summarise(input0, 'n = n()', ""'group','subgroup'"")","SELECT GROUP,
       subgroup,
       n
FROM
  (SELECT GROUP,
          subgroup,
          COUNT() AS n
   FROM df_i040
   GROUP BY GROUP,
            subgroup)
ORDER BY GROUP;",1,8,2,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
scythe/top_rated_posts/057,"summarise(input0, 'birthyear = min(birthyear)', ""'city'""), semi_join(input0, line0), natural_join3(input0, line0, line1)","SELECT name,
       city,
       birthyear AS minbirthyear
FROM
  (SELECT LHS.id AS id,
          LHS.name AS name,
          LHS.city AS city,
          LHS.birthyear AS birthyear
   FROM
     (SELECT LHS.id AS id,
             LHS.name AS name,
             LHS.city AS city,
             LHS.birthyear AS birthyear
      FROM df_i057 AS LHS
      INNER JOIN
        (SELECT city,
                MIN(birthyear) AS birthyear
         FROM df_i057
         GROUP BY city) AS RHS ON (LHS.city = RHS.city
                                   AND LHS.birthyear = RHS.birthyear)) AS LHS
   INNER JOIN
     (SELECT *
      FROM df_i057 AS LHS
      WHERE EXISTS
          (SELECT 1
           FROM
             (SELECT city,
                     MIN(birthyear) AS birthyear
              FROM df_i057
              GROUP BY city) AS RHS
           WHERE (LHS.city = RHS.city
                  AND LHS.birthyear = RHS.birthyear) )) AS RHS ON (LHS.id = RHS.id
                                                                   AND LHS.name = RHS.name
                                                                   AND LHS.city = RHS.city
                                                                   AND LHS.birthyear = RHS.birthyear))
ORDER BY name;",3,19,7,0,7,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
scythe/top_rated_posts/003,"summarise(input0, ""concatc = string_agg(c, ', ')"", '')","SELECT `concatc`
FROM
  (SELECT string_agg(`c`, ', ') AS concatc
   FROM df_i003)
ORDER BY concatc;",1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
scythe/top_rated_posts/002,"summarise(input0, 'n = n()', ""'email','name'""), limit(line0, 'desc(name)')","SELECT name
FROM
  (SELECT *
   FROM
     (SELECT *
      FROM
        (SELECT email,
                name,
                COUNT() AS n
         FROM df_i002
         GROUP BY email,
                  name)
      ORDER BY name DESC)
   LIMIT 1);",1,10,4,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
scythe/top_rated_posts/016,"summarise(input0, ""concatemployee = string_agg(employee, ', ')"", ""'company_id'"")","SELECT `company_id`,
       `concatemployee`
FROM
  (SELECT `company_id`,
          string_agg(`employee`, ', ') AS concatemployee
   FROM df_i016
   GROUP BY company_id)
ORDER BY company_id;",1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
scythe/top_rated_posts/045,"summarise(input0, 'n = n()', ""'user_id','zip'""), limit(line0, 'zip')","SELECT user_id,
       n
FROM
  (SELECT *
   FROM
     (SELECT *
      FROM
        (SELECT user_id,
                zip,
                COUNT() AS n
         FROM df_i045
         GROUP BY user_id,
                  zip)
      ORDER BY zip)
   LIMIT 1);",1,9,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
scythe/top_rated_posts/005,"summarise(input0, 'minid = min(id)', ""'customer','total'""), summarise(input0, 'total = max(total)', ""'customer'""), semi_join(line0, line1)","SELECT minid,
       customer,
       total AS maxtotal
FROM
  (SELECT *
   FROM
     (SELECT customer,
             total,
             MIN(id) AS minid
      FROM df_i005
      GROUP BY customer,
               total) AS LHS
   WHERE EXISTS
       (SELECT 1
        FROM
          (SELECT customer,
                  MAX(total) AS total
           FROM df_i005
           GROUP BY customer) AS RHS
        WHERE (LHS.customer = RHS.customer
               AND LHS.total = RHS.total) ))
ORDER BY minid;",3,13,5,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
scythe/top_rated_posts/028,"left_join(input1, input0), summarise(line0, ""concatdesc = string_agg(desc, ' ')"", ""'pid'"")","SELECT `pid`,
       `concatdesc`
FROM
  (SELECT `pid`,
          string_agg(`desc`, ' ') AS concatdesc
   FROM
     (SELECT LHS.pid AS pid,
             LHS.seq AS seq,
             LHS.desc AS DESC
      FROM df_i028_2 AS LHS
      LEFT JOIN df_i028_1 AS RHS ON (LHS.pid = RHS.pid))
   GROUP BY pid)
ORDER BY pid;",2,8,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
scythe/top_rated_posts/004,"summarise(input0, 'rev = max(rev)', ""'id'""), semi_join(input0, line0)","SELECT id,
       rev,
       content
FROM
  (SELECT *
   FROM df_i004 AS LHS
   WHERE EXISTS
       (SELECT 1
        FROM
          (SELECT id,
                  MAX(rev) AS rev
           FROM df_i004
           GROUP BY id) AS RHS
        WHERE (LHS.id = RHS.id
               AND LHS.rev = RHS.rev) ))
ORDER BY id;",2,11,4,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
scythe/top_rated_posts/032,"filter(input0, ""status != 'Active' | status == 'Inactive'""), filter(input0, ""status == 'Active' | status != 'Inactive'""), inner_join(line0, line1, ""'section'"")","SELECT `section`,
       `count_other` AS `count`,
       `count` AS `count_other`
FROM
  (SELECT `LHS`.`section` AS `section`,
          `LHS`.`status` AS `status`,
          `LHS`.`count` AS `count`,
          `RHS`.`status` AS `status_other`,
          `RHS`.`count` AS `count_other`
   FROM
     (SELECT *
      FROM `df_i032`
      WHERE (`status` != 'Active'
             OR `status` = 'Inactive')) AS `LHS`
   INNER JOIN
     (SELECT *
      FROM `df_i032`
      WHERE (`status` = 'Active'
             OR `status` != 'Inactive')) AS RHS ON (LHS.section = RHS.section))
ORDER BY SECTION;",3,13,4,0,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
scythe/top_rated_posts/027,"summarise(input0, 'avg = max(avg)', ""'cname'""), semi_join(input0, line0)","SELECT cname,
       wmname,
       AVG AS maxavg
FROM
  (SELECT *
   FROM df_i027 AS LHS
   WHERE EXISTS
       (SELECT 1
        FROM
          (SELECT cname,
                  MAX(AVG) AS AVG
           FROM df_i027
           GROUP BY cname) AS RHS
        WHERE (LHS.cname = RHS.cname
               AND LHS.avg = RHS.avg) ))
ORDER BY cname;",2,14,4,0,4,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
scythe/top_rated_posts/037,"summarise(input0, 'c1 = min(c1)', ""'c2'""), semi_join(input0, line0)","SELECT c1,
       c2,
       c3
FROM
  (SELECT *
   FROM df_i037 AS LHS
   WHERE EXISTS
       (SELECT 1
        FROM
          (SELECT c2,
                  MIN(c1) AS c1
           FROM df_i037
           GROUP BY c2) AS RHS
        WHERE (LHS.c1 = RHS.c1
               AND LHS.c2 = RHS.c2) ))
ORDER BY c1;",2,11,4,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
