name,loc,sql_size,cols,tables,total_rows,total_cells
db2csv/journal_committee/0001_train,,6,3,1,10,28
db2csv/journal_committee/0002_train,,9,3,1,18,36
db2csv/journal_committee/0015_train,,28,5,2,17,49
db2csv/journal_committee/0011_train,,34,8,3,39,126
db2csv/journal_committee/0018_train,,28,6,2,24,86
db2csv/journal_committee/0005_train,,19,3,1,11,29
db2csv/journal_committee/0014_train,,29,5,2,22,66
db2csv/journal_committee/0003_train,,9,3,1,18,45
db2csv/journal_committee/0007_train,,11,3,1,18,45
db2csv/journal_committee/0013_train,,37,8,3,37,117
db2csv/journal_committee/0010_train,,34,8,3,39,126
db2csv/journal_committee/0004_train,,12,3,1,14,32
db2csv/journal_committee/0008_train,,13,3,1,10,28
db2csv/journal_committee/0009_train,,6,4,1,32,80
db2csv/culture_company/0006_train,,6,7,1,20,92
db2csv/culture_company/0025_train,,20,6,1,11,62
db2csv/culture_company/0012_train,,13,7,1,13,85
db2csv/culture_company/0016_train,,20,7,1,13,85
db2csv/culture_company/0017_train,,24,7,1,14,86
db2csv/culture_company/0032_train,,24,6,1,11,63
db2csv/culture_company/0001_train,,6,7,1,13,85
db2csv/culture_company/0002_train,,6,7,1,13,85
db2csv/culture_company/0020_train,,18,7,1,12,84
db2csv/culture_company/0033_train,,26,12,2,19,121
db2csv/culture_company/0021_train,,15,6,1,20,90
db2csv/culture_company/0019_train,,18,7,1,12,84
db2csv/culture_company/0028_train,,24,6,1,11,61
db2csv/culture_company/0024_train,,8,6,1,11,61
db2csv/culture_company/0015_train,,20,7,1,13,85
db2csv/culture_company/0011_train,,13,7,1,13,85
db2csv/culture_company/0029_train,,19,6,1,19,69
db2csv/culture_company/0035_train,,41,16,3,30,184
db2csv/culture_company/0026_train,,20,6,1,11,62
db2csv/culture_company/0038_train,,26,11,2,18,98
db2csv/culture_company/0023_train,,8,6,1,11,61
db2csv/culture_company/0018_train,,24,7,1,14,86
db2csv/culture_company/0005_train,,6,7,1,20,92
db2csv/culture_company/0014_train,,11,7,1,15,90
db2csv/culture_company/0027_train,,24,6,1,11,61
db2csv/culture_company/0036_train,,41,16,3,30,184
db2csv/culture_company/0003_train,,15,7,1,14,88
db2csv/culture_company/0007_train,,15,7,1,24,120
db2csv/culture_company/0037_train,,26,11,2,18,98
db2csv/culture_company/0030_train,,19,6,1,19,69
db2csv/culture_company/0022_train,,15,6,1,20,90
db2csv/culture_company/0013_train,,11,7,1,15,90
db2csv/culture_company/0010_train,,11,7,1,20,100
db2csv/culture_company/0031_train,,24,6,1,11,63
db2csv/culture_company/0034_train,,26,12,2,19,121
db2csv/culture_company/0004_train,,15,7,1,14,88
db2csv/culture_company/0008_train,,15,7,1,24,120
db2csv/culture_company/0009_train,,11,7,1,20,100
db2csv/network_2/0006_train,,8,5,1,5,21
db2csv/network_2/0053_train,,14,3,1,6,14
db2csv/network_2/0025_train,,13,5,1,7,26
db2csv/network_2/0048_train,,68,7,2,8,32
db2csv/network_2/0086_train,,56,7,2,9,33
db2csv/network_2/0041_train,,15,5,1,6,22
db2csv/network_2/0012_train,,18,5,1,5,21
db2csv/network_2/0082_train,,36,7,2,9,34
db2csv/network_2/0084_train,,23,7,2,9,33
db2csv/network_2/0016_train,,31,5,1,5,21
db2csv/network_2/0017_train,,19,5,1,5,21
db2csv/network_2/0044_train,,60,7,2,9,34
db2csv/network_2/0074_train,,46,7,2,9,33
db2csv/network_2/0043_train,,60,7,2,9,34
db2csv/network_2/0065_train,,26,7,2,9,33
db2csv/network_2/0081_train,,36,7,2,9,34
db2csv/network_2/0056_train,,26,7,2,9,33
db2csv/network_2/0040_train,,9,5,1,8,24
db2csv/network_2/0032_train,,17,5,1,6,24
db2csv/network_2/0001_train,,28,7,2,9,33
db2csv/network_2/0077_train,,54,7,2,9,35
db2csv/network_2/0002_train,,28,7,2,9,33
db2csv/network_2/0051_train,,32,7,2,11,35
db2csv/network_2/0020_train,,12,5,1,6,22
db2csv/network_2/0033_train,,27,5,1,5,21
db2csv/network_2/0073_train,,46,7,2,9,33
db2csv/network_2/0059_train,,34,7,2,8,32
db2csv/network_2/0021_train,,19,5,1,5,21
db2csv/network_2/0050_train,,68,7,2,9,33
db2csv/network_2/0060_train,,34,7,2,8,32
db2csv/network_2/0019_train,,12,5,1,6,22
db2csv/network_2/0028_train,,19,5,1,6,24
db2csv/network_2/0024_train,,13,5,1,6,24
db2csv/network_2/0058_train,,26,7,2,9,33
db2csv/network_2/0052_train,,32,7,2,11,35
db2csv/network_2/0015_train,,31,5,1,5,21
db2csv/network_2/0011_train,,18,5,1,5,21
db2csv/network_2/0063_train,,41,7,2,8,32
db2csv/network_2/0070_train,,40,7,2,10,38
db2csv/network_2/0029_train,,13,5,1,7,26
db2csv/network_2/0035_train,,24,5,1,5,21
db2csv/network_2/0026_train,,13,5,1,7,26
db2csv/network_2/0042_train,,15,5,1,6,22
db2csv/network_2/0038_train,,12,5,1,8,28
db2csv/network_2/0055_train,,26,7,2,9,33
db2csv/network_2/0023_train,,13,5,1,6,24
db2csv/network_2/0018_train,,19,5,1,5,21
db2csv/network_2/0005_train,,8,5,1,5,21
db2csv/network_2/0047_train,,68,7,2,8,32
db2csv/network_2/0014_train,,31,5,1,5,21
db2csv/network_2/0069_train,,40,7,2,10,38
db2csv/network_2/0057_train,,26,7,2,9,33
db2csv/network_2/0078_train,,54,7,2,9,35
db2csv/network_2/0083_train,,23,7,2,9,33
db2csv/network_2/0027_train,,19,5,1,6,24
db2csv/network_2/0075_train,,31,3,1,5,13
db2csv/network_2/0036_train,,24,5,1,5,21
db2csv/network_2/0046_train,,38,7,2,9,34
db2csv/network_2/0062_train,,34,7,2,8,32
db2csv/network_2/0068_train,,32,7,2,9,33
db2csv/network_2/0003_train,,12,5,1,5,21
db2csv/network_2/0080_train,,12,7,2,9,33
db2csv/network_2/0049_train,,68,7,2,9,33
db2csv/network_2/0007_train,,8,5,1,5,21
db2csv/network_2/0037_train,,12,5,1,8,28
db2csv/network_2/0030_train,,13,5,1,7,26
db2csv/network_2/0072_train,,31,3,1,5,13
db2csv/network_2/0076_train,,31,3,1,5,13
db2csv/network_2/0079_train,,12,7,2,9,33
db2csv/network_2/0054_train,,14,3,1,6,14
db2csv/network_2/0022_train,,19,5,1,5,21
db2csv/network_2/0013_train,,31,5,1,5,21
db2csv/network_2/0010_train,,8,5,1,5,21
db2csv/network_2/0031_train,,17,5,1,6,24
db2csv/network_2/0066_train,,26,7,2,9,33
db2csv/network_2/0071_train,,31,3,1,5,13
db2csv/network_2/0061_train,,34,7,2,8,32
db2csv/network_2/0039_train,,9,5,1,8,24
db2csv/network_2/0045_train,,38,7,2,9,34
db2csv/network_2/0085_train,,56,7,2,9,33
db2csv/network_2/0064_train,,41,7,2,8,32
db2csv/network_2/0067_train,,32,7,2,9,33
db2csv/network_2/0034_train,,27,5,1,5,21
db2csv/network_2/0004_train,,12,5,1,5,21
db2csv/network_2/0008_train,,8,5,1,5,21
db2csv/network_2/0009_train,,8,5,1,5,21
db2csv/university_basketball/0006_train,,11,8,1,6,41
db2csv/university_basketball/0025_train,,13,8,1,7,44
db2csv/university_basketball/0041_train,,8,8,1,6,41
db2csv/university_basketball/0012_train,,11,12,1,5,49
db2csv/university_basketball/0016_train,,29,19,2,10,90
db2csv/university_basketball/0017_train,,29,19,2,10,90
db2csv/university_basketball/0044_train,,6,12,1,8,96
db2csv/university_basketball/0043_train,,6,12,1,8,96
db2csv/university_basketball/0040_train,,19,8,1,7,44
db2csv/university_basketball/0032_train,,8,8,1,6,41
db2csv/university_basketball/0001_train,,12,8,1,10,50
db2csv/university_basketball/0002_train,,12,8,1,10,50
db2csv/university_basketball/0020_train,,14,8,1,6,41
db2csv/university_basketball/0033_train,,12,8,1,6,41
db2csv/university_basketball/0021_train,,14,8,1,6,42
db2csv/university_basketball/0019_train,,14,8,1,6,41
db2csv/university_basketball/0028_train,,15,19,2,10,89
db2csv/university_basketball/0024_train,,13,8,1,6,42
db2csv/university_basketball/0015_train,,29,19,2,10,90
db2csv/university_basketball/0011_train,,11,12,1,5,49
db2csv/university_basketball/0029_train,,19,8,1,10,45
db2csv/university_basketball/0035_train,,31,19,2,12,91
db2csv/university_basketball/0026_train,,13,8,1,7,44
db2csv/university_basketball/0042_train,,8,8,1,6,41
db2csv/university_basketball/0038_train,,17,8,1,6,42
db2csv/university_basketball/0023_train,,13,8,1,6,42
db2csv/university_basketball/0018_train,,29,19,2,10,90
db2csv/university_basketball/0005_train,,11,8,1,6,41
db2csv/university_basketball/0014_train,,25,19,2,10,89
db2csv/university_basketball/0027_train,,15,19,2,10,89
db2csv/university_basketball/0036_train,,31,19,2,12,91
db2csv/university_basketball/0046_train,,9,12,1,8,52
db2csv/university_basketball/0003_train,,15,8,1,9,48
db2csv/university_basketball/0007_train,,17,8,1,6,41
db2csv/university_basketball/0037_train,,17,8,1,6,42
db2csv/university_basketball/0030_train,,19,8,1,10,45
db2csv/university_basketball/0022_train,,14,8,1,6,42
db2csv/university_basketball/0013_train,,25,19,2,10,89
db2csv/university_basketball/0010_train,,8,12,1,5,49
db2csv/university_basketball/0031_train,,8,8,1,6,41
db2csv/university_basketball/0039_train,,19,8,1,7,44
db2csv/university_basketball/0045_train,,9,12,1,8,52
db2csv/university_basketball/0034_train,,12,8,1,6,41
db2csv/university_basketball/0004_train,,15,8,1,9,48
db2csv/university_basketball/0008_train,,17,8,1,6,41
db2csv/university_basketball/0009_train,,8,12,1,5,49
db2csv/music_4/0006_train,,8,5,1,8,36
db2csv/music_4/0053_train,,11,6,1,11,61
db2csv/music_4/0025_train,,26,12,2,25,120
db2csv/music_4/0048_train,,15,10,2,19,97
db2csv/music_4/0041_train,,13,6,1,10,55
db2csv/music_4/0012_train,,9,6,1,18,72
db2csv/music_4/0016_train,,13,6,1,11,62
db2csv/music_4/0017_train,,12,6,1,14,64
db2csv/music_4/0044_train,,14,6,1,11,56
db2csv/music_4/0043_train,,14,6,1,11,56
db2csv/music_4/0056_train,,8,6,1,11,61
db2csv/music_4/0040_train,,11,6,1,12,60
db2csv/music_4/0032_train,,28,10,2,18,96
db2csv/music_4/0001_train,,6,5,1,8,36
db2csv/music_4/0002_train,,6,5,1,8,36
db2csv/music_4/0051_train,,19,6,1,11,56
db2csv/music_4/0020_train,,9,6,1,20,70
db2csv/music_4/0033_train,,26,10,2,19,97
db2csv/music_4/0059_train,,25,10,2,18,96
db2csv/music_4/0021_train,,8,6,1,11,61
db2csv/music_4/0050_train,,52,10,2,18,96
db2csv/music_4/0060_train,,25,10,2,18,96
db2csv/music_4/0019_train,,9,6,1,20,70
db2csv/music_4/0028_train,,26,10,2,21,99
db2csv/music_4/0024_train,,26,12,2,21,116
db2csv/music_4/0058_train,,14,6,1,11,58
db2csv/music_4/0052_train,,19,6,1,11,56
db2csv/music_4/0015_train,,13,6,1,11,62
db2csv/music_4/0011_train,,9,6,1,18,72
db2csv/music_4/0029_train,,26,10,2,25,103
db2csv/music_4/0035_train,,12,5,1,14,49
db2csv/music_4/0026_train,,26,12,2,25,120
db2csv/music_4/0042_train,,13,6,1,10,55
db2csv/music_4/0038_train,,11,5,1,8,36
db2csv/music_4/0055_train,,8,6,1,11,61
db2csv/music_4/0023_train,,26,12,2,21,116
db2csv/music_4/0018_train,,12,6,1,14,64
db2csv/music_4/0005_train,,8,5,1,8,36
db2csv/music_4/0047_train,,15,10,2,19,97
db2csv/music_4/0014_train,,12,6,1,12,57
db2csv/music_4/0057_train,,14,6,1,11,58
db2csv/music_4/0027_train,,26,10,2,21,99
db2csv/music_4/0036_train,,12,5,1,14,49
db2csv/music_4/0046_train,,11,6,1,11,61
db2csv/music_4/0003_train,,6,5,1,14,42
db2csv/music_4/0049_train,,52,10,2,18,96
db2csv/music_4/0007_train,,12,5,1,8,36
db2csv/music_4/0037_train,,11,5,1,8,36
db2csv/music_4/0030_train,,26,10,2,25,103
db2csv/music_4/0054_train,,11,6,1,11,61
db2csv/music_4/0022_train,,8,6,1,11,61
db2csv/music_4/0013_train,,12,6,1,12,57
db2csv/music_4/0010_train,,6,5,1,12,40
db2csv/music_4/0031_train,,28,10,2,18,96
db2csv/music_4/0039_train,,11,6,1,12,60
db2csv/music_4/0045_train,,11,6,1,11,61
db2csv/music_4/0034_train,,26,10,2,19,97
db2csv/music_4/0004_train,,6,5,1,14,42
db2csv/music_4/0008_train,,12,5,1,8,36
db2csv/music_4/0009_train,,6,5,1,12,40
db2csv/school_bus/0006_train,,13,5,1,13,61
db2csv/school_bus/0012_train,,34,12,3,29,125
db2csv/school_bus/0016_train,,19,5,1,13,61
db2csv/school_bus/0017_train,,19,5,1,13,61
db2csv/school_bus/0001_train,,6,5,1,13,61
db2csv/school_bus/0002_train,,12,5,1,24,96
db2csv/school_bus/0015_train,,25,8,2,14,59
db2csv/school_bus/0011_train,,14,5,1,8,36
db2csv/school_bus/0018_train,,24,8,2,18,81
db2csv/school_bus/0005_train,,6,5,1,17,65
db2csv/school_bus/0014_train,,18,8,2,14,59
db2csv/school_bus/0003_train,,11,5,1,14,64
db2csv/school_bus/0007_train,,19,5,1,16,64
db2csv/school_bus/0013_train,,18,4,1,6,23
db2csv/school_bus/0010_train,,15,8,2,24,87
db2csv/school_bus/0004_train,,9,5,1,24,72
db2csv/school_bus/0008_train,,20,5,1,13,61
db2csv/school_bus/0009_train,,18,5,1,15,63
db2csv/station_weather/0006_train,,11,7,1,20,95
db2csv/station_weather/0012_train,,8,4,1,12,45
db2csv/station_weather/0016_train,,14,7,1,13,79
db2csv/station_weather/0001_train,,9,4,1,22,66
db2csv/station_weather/0002_train,,12,7,1,22,99
db2csv/station_weather/0015_train,,13,6,1,17,98
db2csv/station_weather/0011_train,,41,12,3,48,173
db2csv/station_weather/0005_train,,22,7,1,12,79
db2csv/station_weather/0014_train,,35,10,2,32,150
db2csv/station_weather/0003_train,,18,7,1,13,81
db2csv/station_weather/0007_train,,27,9,2,30,114
db2csv/station_weather/0013_train,,33,10,2,28,142
db2csv/station_weather/0010_train,,34,10,2,28,142
db2csv/station_weather/0004_train,,12,7,1,12,78
db2csv/station_weather/0008_train,,29,6,2,38,107
db2csv/station_weather/0009_train,,13,6,1,23,110
db2csv/dorm_1/0006_train,,19,8,1,35,273
db2csv/dorm_1/0053_train,,16,4,1,10,37
db2csv/dorm_1/0025_train,,15,5,2,47,108
db2csv/dorm_1/0048_train,,21,8,1,53,310
db2csv/dorm_1/0094_train,,43,6,3,63,136
db2csv/dorm_1/0086_train,,41,6,3,64,137
db2csv/dorm_1/0041_train,,11,4,1,8,29
db2csv/dorm_1/0012_train,,6,4,1,8,29
db2csv/dorm_1/0082_train,,44,14,3,73,394
db2csv/dorm_1/0100_train,,59,16,5,137,510
db2csv/dorm_1/0084_train,,37,6,3,64,137
db2csv/dorm_1/0016_train,,8,4,1,8,29
db2csv/dorm_1/0091_train,,42,6,3,60,134
db2csv/dorm_1/0017_train,,6,8,1,35,273
db2csv/dorm_1/0044_train,,9,2,1,24,36
db2csv/dorm_1/0074_train,,43,14,3,76,401
db2csv/dorm_1/0043_train,,9,2,1,24,36
db2csv/dorm_1/0065_train,,26,8,1,50,304
db2csv/dorm_1/0087_train,,27,3,2,53,105
db2csv/dorm_1/0098_train,,53,13,4,126,487
db2csv/dorm_1/0081_train,,44,14,3,73,394
db2csv/dorm_1/0056_train,,18,8,1,36,278
db2csv/dorm_1/0040_train,,38,8,1,50,288
db2csv/dorm_1/0032_train,,22,4,1,11,36
db2csv/dorm_1/0001_train,,12,4,1,8,29
db2csv/dorm_1/0077_train,,45,14,3,73,394
db2csv/dorm_1/0002_train,,12,4,1,8,29
db2csv/dorm_1/0051_train,,41,6,3,67,140
db2csv/dorm_1/0020_train,,13,8,1,53,310
db2csv/dorm_1/0033_train,,13,8,1,35,274
db2csv/dorm_1/0073_train,,43,14,3,76,401
db2csv/dorm_1/0059_train,,16,8,1,53,329
db2csv/dorm_1/0021_train,,19,4,1,8,30
db2csv/dorm_1/0050_train,,18,8,1,65,334
db2csv/dorm_1/0060_train,,16,8,1,53,329
db2csv/dorm_1/0019_train,,13,8,1,53,310
db2csv/dorm_1/0028_train,,8,4,1,8,29
db2csv/dorm_1/0024_train,,8,2,1,41,81
db2csv/dorm_1/0058_train,,11,8,1,40,284
db2csv/dorm_1/0052_train,,41,6,3,67,140
db2csv/dorm_1/0089_train,,60,16,5,155,528
db2csv/dorm_1/0095_train,,52,13,4,139,513
db2csv/dorm_1/0015_train,,8,4,1,8,29
db2csv/dorm_1/0011_train,,6,4,1,8,29
db2csv/dorm_1/0063_train,,17,8,1,41,286
db2csv/dorm_1/0070_train,,39,14,3,79,407
db2csv/dorm_1/0097_train,,53,13,4,126,487
db2csv/dorm_1/0029_train,,15,4,1,8,30
db2csv/dorm_1/0035_train,,74,6,3,61,134
db2csv/dorm_1/0026_train,,15,5,2,47,108
db2csv/dorm_1/0090_train,,60,16,5,155,528
db2csv/dorm_1/0042_train,,11,4,1,8,29
db2csv/dorm_1/0038_train,,74,6,3,60,133
db2csv/dorm_1/0055_train,,18,8,1,36,278
db2csv/dorm_1/0023_train,,8,2,1,41,81
db2csv/dorm_1/0018_train,,6,8,1,35,273
db2csv/dorm_1/0005_train,,19,8,1,35,273
db2csv/dorm_1/0047_train,,21,8,1,53,310
db2csv/dorm_1/0014_train,,6,2,1,13,25
db2csv/dorm_1/0069_train,,39,14,3,79,407
db2csv/dorm_1/0057_train,,11,8,1,40,284
db2csv/dorm_1/0078_train,,45,14,3,73,394
db2csv/dorm_1/0099_train,,59,16,5,137,510
db2csv/dorm_1/0083_train,,37,6,3,64,137
db2csv/dorm_1/0093_train,,43,6,3,63,136
db2csv/dorm_1/0027_train,,8,4,1,8,29
db2csv/dorm_1/0075_train,,37,14,3,78,399
db2csv/dorm_1/0088_train,,27,3,2,53,105
db2csv/dorm_1/0092_train,,42,6,3,60,134
db2csv/dorm_1/0036_train,,74,6,3,61,134
db2csv/dorm_1/0046_train,,13,8,1,35,273
db2csv/dorm_1/0062_train,,22,8,1,52,326
db2csv/dorm_1/0068_train,,23,8,1,36,276
db2csv/dorm_1/0003_train,,12,4,1,9,30
db2csv/dorm_1/0080_train,,36,14,3,73,394
db2csv/dorm_1/0049_train,,18,8,1,65,334
db2csv/dorm_1/0007_train,,12,8,1,41,279
db2csv/dorm_1/0037_train,,74,6,3,60,133
db2csv/dorm_1/0030_train,,15,4,1,8,30
db2csv/dorm_1/0072_train,,32,5,2,52,118
db2csv/dorm_1/0076_train,,37,14,3,78,399
db2csv/dorm_1/0079_train,,36,14,3,73,394
db2csv/dorm_1/0054_train,,16,4,1,10,37
db2csv/dorm_1/0022_train,,19,4,1,8,30
db2csv/dorm_1/0013_train,,6,2,1,13,25
db2csv/dorm_1/0010_train,,21,8,1,36,274
db2csv/dorm_1/0031_train,,22,4,1,11,36
db2csv/dorm_1/0066_train,,26,8,1,50,304
db2csv/dorm_1/0071_train,,32,5,2,52,118
db2csv/dorm_1/0061_train,,22,8,1,52,326
db2csv/dorm_1/0039_train,,38,8,1,50,288
db2csv/dorm_1/0045_train,,13,8,1,35,273
db2csv/dorm_1/0085_train,,41,6,3,64,137
db2csv/dorm_1/0064_train,,17,8,1,41,286
db2csv/dorm_1/0067_train,,23,8,1,36,276
db2csv/dorm_1/0034_train,,13,8,1,35,274
db2csv/dorm_1/0004_train,,12,4,1,9,30
db2csv/dorm_1/0008_train,,12,8,1,41,279
db2csv/dorm_1/0009_train,,21,8,1,36,274
db2csv/dorm_1/0096_train,,52,13,4,139,513
db2csv/customers_and_products_contacts/0006_train,,14,4,1,17,62
db2csv/customers_and_products_contacts/0012_train,,42,15,3,70,355
db2csv/customers_and_products_contacts/0001_train,,12,6,1,16,91
db2csv/customers_and_products_contacts/0002_train,,6,6,1,30,105
db2csv/customers_and_products_contacts/0015_train,,22,4,1,28,86
db2csv/customers_and_products_contacts/0011_train,,18,4,1,16,61
db2csv/customers_and_products_contacts/0005_train,,27,10,2,31,166
db2csv/customers_and_products_contacts/0014_train,,45,13,3,46,227
db2csv/customers_and_products_contacts/0003_train,,11,6,1,29,118
db2csv/customers_and_products_contacts/0007_train,,52,10,2,33,168
db2csv/customers_and_products_contacts/0013_train,,35,10,2,32,167
db2csv/customers_and_products_contacts/0010_train,,18,4,1,16,63
db2csv/customers_and_products_contacts/0004_train,,18,10,2,41,197
db2csv/customers_and_products_contacts/0008_train,,15,7,1,30,150
db2csv/customers_and_products_contacts/0009_train,,28,7,2,40,140
db2csv/flight_2/0063_dev,,28,7,2,1224,4860
db2csv/flight_2/0067_dev,,26,7,2,1312,4948
db2csv/flight_2/0064_dev,,28,7,2,1224,4860
db2csv/flight_2/0025_dev,,12,4,1,1201,4801
db2csv/flight_2/0047_dev,,36,9,2,1300,5300
db2csv/flight_2/0008_dev,,15,5,1,100,500
db2csv/flight_2/0078_dev,,33,9,2,1301,5301
db2csv/flight_2/0011_dev,,6,5,1,101,501
db2csv/flight_2/0031_dev,,25,9,2,1301,5301
db2csv/flight_2/0019_dev,,15,5,1,100,500
db2csv/flight_2/0069_dev,,12,4,1,1200,4800
db2csv/flight_2/0061_dev,,52,7,2,1212,4848
db2csv/flight_2/0028_dev,,12,4,1,1201,4801
db2csv/flight_2/0066_dev,,28,7,2,1224,4860
db2csv/flight_2/0035_dev,,25,7,2,1213,4849
db2csv/flight_2/0043_dev,,27,9,2,1300,5300
db2csv/flight_2/0041_dev,,44,11,3,1313,5349
db2csv/flight_2/0030_dev,,25,9,2,1301,5301
db2csv/flight_2/0033_dev,,44,9,2,1301,5301
db2csv/flight_2/0077_dev,,33,9,2,1301,5301
db2csv/flight_2/0022_dev,,12,5,1,101,501
db2csv/flight_2/0026_dev,,12,4,1,1201,4801
db2csv/flight_2/0050_dev,,36,9,2,1300,5300
db2csv/flight_2/0023_dev,,12,5,1,100,500
db2csv/flight_2/0029_dev,,25,9,2,1301,5301
db2csv/flight_2/0032_dev,,25,9,2,1301,5301
db2csv/flight_2/0055_dev,,26,7,2,1212,4848
db2csv/flight_2/0016_dev,,12,4,1,13,49
db2csv/flight_2/0053_dev,,31,7,2,1213,4850
db2csv/flight_2/0006_dev,,15,4,1,24,72
db2csv/flight_2/0010_dev,,6,4,1,13,49
db2csv/flight_2/0074_dev,,26,9,2,1300,5300
db2csv/flight_2/0054_dev,,31,7,2,1213,4850
db2csv/flight_2/0037_dev,,33,7,2,1213,4849
db2csv/flight_2/0040_dev,,33,7,2,1213,4849
db2csv/flight_2/0027_dev,,12,4,1,1201,4801
db2csv/flight_2/0020_dev,,15,5,1,100,500
db2csv/flight_2/0044_dev,,27,9,2,1300,5300
db2csv/flight_2/0005_dev,,15,4,1,24,72
db2csv/flight_2/0007_dev,,15,5,1,100,500
db2csv/flight_2/0056_dev,,26,7,2,1212,4848
db2csv/flight_2/0015_dev,,12,4,1,13,49
db2csv/flight_2/0045_dev,,27,9,2,1300,5300
db2csv/flight_2/0012_dev,,6,5,1,101,501
db2csv/flight_2/0076_dev,,26,9,2,1300,5300
db2csv/flight_2/0060_dev,,52,7,2,1212,4848
db2csv/flight_2/0065_dev,,28,7,2,1224,4860
db2csv/flight_2/0038_dev,,33,7,2,1213,4849
db2csv/flight_2/0075_dev,,26,9,2,1300,5300
db2csv/flight_2/0068_dev,,26,7,2,1312,4948
db2csv/flight_2/0036_dev,,25,7,2,1213,4849
db2csv/flight_2/0072_dev,,12,4,1,1200,4800
db2csv/flight_2/0039_dev,,33,7,2,1213,4849
db2csv/flight_2/0052_dev,,27,7,2,1213,4849
db2csv/flight_2/0013_dev,,6,4,1,1201,4801
db2csv/flight_2/0002_dev,,12,4,1,13,49
db2csv/flight_2/0009_dev,,6,4,1,13,49
db2csv/flight_2/0001_dev,,12,4,1,13,49
db2csv/flight_2/0017_dev,,12,4,1,13,49
db2csv/flight_2/0051_dev,,27,7,2,1213,4849
db2csv/flight_2/0042_dev,,44,11,3,1313,5349
db2csv/flight_2/0057_dev,,26,7,2,1212,4848
db2csv/flight_2/0079_dev,,21,9,2,1400,5400
db2csv/flight_2/0034_dev,,44,9,2,1301,5301
db2csv/flight_2/0070_dev,,12,4,1,1200,4800
db2csv/flight_2/0058_dev,,26,7,2,1212,4848
db2csv/flight_2/0049_dev,,36,9,2,1300,5300
db2csv/flight_2/0014_dev,,6,4,1,1201,4801
db2csv/flight_2/0048_dev,,36,9,2,1300,5300
db2csv/flight_2/0003_dev,,12,4,1,13,49
db2csv/flight_2/0018_dev,,12,4,1,13,49
db2csv/flight_2/0059_dev,,52,7,2,1212,4848
db2csv/flight_2/0004_dev,,12,4,1,13,49
db2csv/flight_2/0071_dev,,12,4,1,1200,4800
db2csv/flight_2/0046_dev,,27,9,2,1300,5300
db2csv/flight_2/0021_dev,,12,5,1,101,501
db2csv/flight_2/0024_dev,,12,5,1,100,500
db2csv/flight_2/0080_dev,,21,9,2,1400,5400
db2csv/flight_2/0062_dev,,52,7,2,1212,4848
db2csv/flight_2/0073_dev,,26,9,2,1300,5300
db2csv/cre_Doc_Control_Systems/0006_train,,12,3,1,6,16
db2csv/cre_Doc_Control_Systems/0025_train,,42,9,2,22,122
db2csv/cre_Doc_Control_Systems/0012_train,,29,5,2,14,44
